code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
110075.SH,南航转债,交通运输,600029.SH,南方航空,106.757,5.15,-0.11508233532933,-0.57915057915057,0.18904109589039,130.45445,6.17,83.468395461912,27.901104854369,-1.2734,106.20767426739,0.51721849329892,AAA,58.95925,160,-0.79175533644954,-1.9047619047619,2020-11-03
110076.SH,华海转债,医药生物,600521.SH,华海药业,119.39,17.55,3.8354496434162,6.6221142162819,0.2383561643835,322.16162,16.5,106.36363636364,12.247008547009,-32.9967,109.61027318473,8.9222720928581,AA,18.42381,18.426,-1.2555000496245,4.9641148325359,2020-11-25
110077.SH,洪城转债,环保,600461.SH,洪城环境,206.84,8.9,0.90346752004996,-0.33594624860022,0.28767123287662,89.289204,4.41,201.81405895692,2.4903820224719,-162.7511,109.53077495382,88.841903188588,AA+,5.83871,18,-2.8021221505336,-4.6087888531618,2020-12-17
110081.SH,闻泰转债,电子,600745.SH,*ST闻泰,103.562,16.82,0.1479561740274,0.3579952267303,0.97260273972597,83.892263,18.36,91.61220043573,13.043895362663,4.4061,97.708247163891,5.9910529622852,AA+,72.06658,86,1.9100382794895,1.3863773357444,2021-08-20
110084.SH,贵燃转债,公用事业,600903.SH,贵州燃气,134.183,6.31,-0.33572250900583,-0.78616352201259,1.3890410958904,72.068667,7.1,88.87323943662,50.982456418384,-12.438,109.32559440547,22.737041339408,AA,8.15725,10,0.38152805727409,2.2690437601297,2022-01-18
110085.SH,通22转债,电力设备,600438.SH,通威股份,118.15,13.08,0.48648556702785,6.2550771730301,1.5506849315068,109.034942,34.6,37.803468208092,212.5374617737,-4.0985,108.16922747548,9.226998063553,AA+,119.83081,120,1.7534491964793,11.986301369863,2022-03-18
110086.SH,精工转债,建筑装饰,600496.SH,精工钢构,124.835,3.28,-0.49261476409493,-0.30395136778116,1.7068493150684,32.917676,4.57,71.772428884026,73.931692073171,-5.3247,110.64429076972,12.825523243506,AA,19.99915,20,-1.3045025101791,-0.30395136778116,2022-05-23
110087.SH,天业转债,基础化工,600075.SH,新疆天业,126.013,4.54,-0.96898920201813,-1.0893246187364,1.8767123287671,51.78033,5.6,81.071428571429,55.434537444934,-7.1337,106.52741589967,18.29161435652,AA+,29.97505,30,-0.75215802406906,-0.43859649122806,2022-07-19
110090.SH,爱迪转债,汽车,600933.SH,爱柯迪,137.502,13.65,-0.40417209908735,-1.0152284263959,2.1287671232876,39.1959,17.15,79.591836734694,72.758923076923,-9.0191,108.85382832556,26.318019416608,AA,15.69604,15.7,1.9666295884316,0.36764705882353,2022-10-28
110092.SH,三房转债,基础化工,600370.SH,*ST三房,72.875,1.51,-0.056229085523063,-1.3071895424837,2.4164383561645,47.178477,3.02,50,45.75,20.4937,92.679107799258,-21.368470488682,AA,21.185,25,-1.9535296729318,-4.4303797468354,2023-02-07
110093.SH,神马转债,基础化工,600810.SH,神马股份,125.521,6.38,0.57047168072816,-0.77760497667185,2.6054794520549,62.304697,8.08,78.960396039604,58.967034482759,-5.0086,105.50599138265,18.970494807979,AAA,22.19845,30,0.70360386380411,0.47244094488189,2023-04-20
110095.SH,双良转债,电力设备,600481.SH,双良节能,122.599,4.34,-1.0260757245499,0.46296296296295,3.0027397260274,117.112665,6.18,70.226537216828,74.576456221198,-2.3589,106.44645218449,15.17434116781,AA,14.00631,26,-0.6289766970618,6.8965517241379,2023-09-08
110097.SH,天润转债,食品饮料,600419.SH,天润乳业,145.581,8.55,-0.71676032516778,-1.270207852194,4.2136986301371,51.182176,8.19,104.3956043956,39.451273684211,-5.584,106.21604141403,37.061217930849,AA,9.88965,9.9,-0.96193748086671,-1.1560693641618,2024-11-15
110098.SH,南药转债,医药生物,600713.SH,南京医药,140.449,5.18,0.39170556321971,1.7681728880157,4.3835616438357,56.267111,4.95,104.64646464646,34.212847490348,-5.0518,103.92777320348,35.140969223905,AA+,10.81352,10.81491,0.46351599773966,2.1696252465483,2025-01-20
110099.SH,福能转债,公用事业,600483.SH,福能股份,147.295,10.54,-0.41848641778331,-1.125703564728,5.1835616438357,90.35473,9.49,111.06427818757,32.62139943074,-5.4895,100.53591681111,46.509829195418,AA+,38.019,38.02,-0.82947881529957,-3.0358785648574,2025-10-30
110100.SH,龙建转债,建筑装饰,600853.SH,龙建股份,125.307,3.2,-0.55868138495845,-1.2345679012346,5.4602739726026,38.140501,4.59,69.716775599129,79.737228125,-1.816,101.48647955715,23.471619615534,AA,9.99979,10,-2.1100243734767,-0.31152647975077,2026-02-12
110101.SH,宝钛转债,有色金属,600456.SH,宝钛股份,161.663,28.62,-0.38941433808804,0.5621925509487,5.8794520547945,195.697269,30.98,92.382182052937,74.993701607268,-6.4742,98.26248039402,64.521594968651,AAA,35,35,0.4486116030098,1.2380615493456,2026-07-16
110102.SH,江农转债,基础化工,600389.SH,江山股份,163.917,20.65,-3.9843251190553,-0.67340067340068,5.9342465753425,1321.763035,20.64,100.0484496124,63.837621307506,-6.2226,100.64135339415,62.872412255868,AA+,11.85,11.85,63.917,-2.317880794702,2026-08-05
111000.SH,起帆转债,电力设备,605222.SH,起帆电缆,146.792,19.77,-0.83028759432782,-0.0505561172902,0.79452054794524,81.042027,17.29,114.34355118566,28.378031360647,-27.259,113.33122913786,29.524757753614,AA-,9.99118,10,2.5062324113322,8.0918534718425,2021-06-17
111002.SH,特纸转债,轻工制造,605007.SH,五洲特纸,146.237,15.8,-1.2132429931164,-3.4819792302993,1.33698630137,81.08422,13.49,117.123795404,24.856780379747,-17.2728,111.39146054056,31.28205635364,AA,6.61882,6.7,-0.91471471064524,0.76530612244899,2021-12-30
111003.SH,聚合转债,基础化工,605166.SH,聚合顺,139.899,8.67,-0.51202184626544,-0.2301495972382,1.5808219178082,14.804795,11.31,76.657824933687,82.498003460208,-10.5777,113.70004285771,23.042169979719,AA-,2.03517,2.04,0.3831665052201,2.846975088968,2022-04-19
111004.SH,明新转债,汽车,605068.SH,明新旭腾,134.17,21.01,-0.45702075883253,-0.61494796594134,1.6438356164383,98.131658,24.37,86.21255642183,55.626982389338,-7.8473,113.54966761513,18.159747023445,AA-,6.71502,6.73,-0.21419327968586,-3.1350852927616,2022-04-25
111009.SH,盛泰转债,纺织服饰,605138.SH,盛泰集团,126.029,5.68,-0.67932319865082,-0.17574692442883,2.2520547945205,10.400728,10.51,54.043767840152,133.19802640845,-4.701,109.05475032163,15.564887937768,AA,7.01045,7.0118,-0.2129883291897,1.9748653500898,2022-12-01
