date,implied_vol,implied_vol_smooth,implied_vol_percentile,price_median,turnover_total,parity_median,premium_median,floor_premium_median,floor_median,remaining_median,ytm_median
2018-01-02,22.20701224768641,22.20701224768641,100.0,103.93,14.91127099,91.63,10.86,26.93,81.5,5.43013698630137,1.671770453453064
2018-01-03,22.33413150288404,22.27057187528523,100.0,103.04,18.42064273,93.375,10.19,28.385,81.0,5.467123287671233,1.627082347869873
2018-01-04,23.18530445103982,22.57548273387009,100.0,103.605,15.49452356,93.27000000000001,11.215,29.315,80.95,5.464383561643835,1.338776290416718
2018-01-05,22.88288621828147,22.65233360497294,75.0,105.84,19.97343087,94.26,11.93,30.65,81.19999999999999,5.461643835616439,0.968573898077011
2018-01-08,22.15430295111603,22.55272747420155,20.0,105.9805,20.51326499,94.775,12.34,30.68,81.1,5.453424657534247,0.8192966580390929
2018-01-09,20.2542782121776,22.16965259719756,16.66666666666667,104.18,33.9305384,95.13,11.06,28.62,81.6,5.49041095890411,1.138580441474915
2018-01-10,23.74270913590715,22.39437495987036,100.0,103.56,17.63460019,93.35,12.1,28.57,81.5,5.487671232876712,1.217816948890686
2018-01-11,23.08042653313536,22.48013140652849,75.0,103.44,14.3965261,94.14,11.7,28.19,81.4,5.484931506849315,1.481503486633301
2018-01-12,22.6855254876994,22.50295297110303,55.55555555555556,104.716,50.16850119,94.22999999999999,12.105,29.265,81.1,5.591780821917808,1.090510010719299
2018-01-15,22.10336337887555,22.46299401188028,20.0,102.48,44.80005679,91.92,14.395,26.35,80.55000000000001,5.736986301369863,1.55778044462204
2018-01-16,22.38950473927414,22.45631316891609,54.54545454545454,103.06,24.13798283,93.44,14.38,26.37,80.7,5.69041095890411,1.369573712348938
2018-01-17,22.78862596170335,22.48400590164836,66.66666666666666,102.705,39.12060241,92.705,13.745,26.58,80.44999999999999,5.731506849315068,1.678903579711914
2018-01-18,22.99667449045298,22.52344194694102,76.92307692307693,102.73,22.43200968,93.33,13.48,26.555,80.55000000000001,5.728767123287671,1.613573789596558
2018-01-19,24.3840166823019,22.65634014232394,100.0,103.43,32.96926398,93.06,15.11,29.99,80.4,5.76986301369863,1.549962639808655
2018-01-22,23.80323498566654,22.73279979854678,93.33333333333333,104.8605,34.21662191,93.965,14.7,30.97,80.30000000000001,5.768493150684931,1.169017612934112
2018-01-23,22.62890625,22.72630645176261,43.75,105.725,46.12875585,93.88,14.97,30.74,80.35,5.765753424657534,0.9835227131843567
2018-01-24,23.77734375,22.78813217518834,88.23529411764706,106.3515,43.47575644,93.6,15.09,32.71,80.4,5.763013698630137,0.7679094970226288
2018-01-25,24.16015625,22.86435573490009,94.44444444444444,106.838,46.43070492,93.12,15.18,33.1,80.4,5.767123287671233,0.6472229957580566
2018-01-26,24.08037897524867,22.92835695807634,89.47368421052632,105.63,39.16070505,93.02,16.2,33.04,80.4,5.767123287671233,0.8256505131721497
2018-01-29,23.57406840329011,22.96064253033703,70.0,104.005,72.47810041,92.4,14.55,31.63,80.19999999999999,5.76986301369863,1.08163982629776
2018-01-30,23.01171875,22.96307473127336,57.14285714285714,105.294,37.32136537,92.68,13.41,30.77,80.2,5.767123287671233,1.129714250564575
2018-01-31,24.83727223301968,23.04826552680728,100.0,104.3,26.31390959,89.91,14.14,30.22,80.2,5.764383561643836,1.330004811286926
2018-02-01,27.02214500663737,23.22104289549555,100.0,103.43,36.8126965,87.14,18.02,28.55,80.2,5.761643835616439,1.572318553924561
2018-02-02,26.45703125,23.3558757435999,95.83333333333334,103.21,23.09434012,86.63,19.64,28.85,80.3,5.758904109589041,1.493854403495789
2018-02-05,27.4497384471562,23.51963025174215,100.0,103.42,30.40545279,85.54,18.92,28.56,80.3,5.750684931506849,1.60068941116333
2018-02-06,27.28353842101805,23.66439595056045,96.15384615384616,101.634,58.30464077,82.41,24.45,26.735,80.35,5.750684931506848,1.660062789916993
2018-02-07,26.60600110272627,23.77334428952956,88.88888888888889,101.725,42.26052577,83.16999999999999,21.99,26.355,80.35,5.747945205479452,1.688627660274506
2018-02-08,26.14914309574743,23.85819424689448,82.14285714285714,102.148,37.47217574,83.985,20.225,26.595,80.5,5.745205479452055,1.680744469165802
2018-02-09,26.68919643875491,23.95581501213105,89.65517241379311,100.845,51.08063393,81.92500000000001,22.955,24.735,80.5,5.742465753424657,1.81833827495575
2018-02-12,25.41737201246072,24.0045335788087,76.66666666666667,102.905,23.4304463,84.41,20.18,27.115,80.5,5.734246575342466,1.468007683753967
2018-02-13,25.42111424993875,24.11167031221712,77.41935483870968,103.52,29.56433187,85.745,19.785,28.015,80.55,5.731506849315068,1.460428953170776
2018-02-14,26.86918623068284,24.26283880314374,90.625,103.002,12.49525315,85.57,20.54,28.52,80.5,5.731506849315068,1.435565590858459
2018-02-22,25.7624892625293,24.34874496352672,75.75757575757575,103.74,20.77583289,86.82,18.67,28.56,80.7,5.70958904109589,1.354981780052185
2018-02-23,24.61039070160581,24.4063284463042,64.70588235294117,103.79,18.19781369,86.71,18.46,28.32,80.7,5.706849315068493,1.391685009002686
2018-02-26,23.01171875,24.43490897293367,37.14285714285714,104.799,27.02989017,90.23,15.78,29.09,80.9,5.698630136986301,1.220039844512939
2018-02-27,22.72380449941646,24.51722651584163,25.0,104.789,24.66624967,90.62,15.35,28.53,81.0,5.695890410958904,1.244195938110352
2018-02-28,22.24609375,24.46733933631139,13.51351351351351,104.27,20.30866122,91.86,15.47,28.31,81.1,5.693150684931507,1.154898166656494
2018-03-01,21.86328125,24.42676782687355,5.263157894736842,105.98,21.03510073,91.52,14.18,28.03,81.3,5.69041095890411,1.128638386726379
2018-03-02,21.49340718244933,24.38703055003188,5.128205128205128,105.25,18.43063674,91.85,14.93,27.45,81.4,5.687671232876713,1.137674808502197
2018-03-05,21.48046875,24.36626739573603,5.0,105.025,40.51042544,92.795,12.965,27.12,81.4,5.682191780821918,1.071431696414948
2018-03-06,20.89043611252041,24.3162984415109,4.878048780487805,105.1,23.95601279,93.91499999999999,12.975,27.745,81.45,5.67945205479452,1.287731766700744
2018-03-07,20.71484375,24.24717236778746,4.761904761904763,105.625,18.34398509,95.045,12.905,27.52,81.55,5.676712328767123,1.236776828765869
2018-03-08,19.56640625,24.13283009310569,2.325581395348837,105.63,13.89803999,95.305,13.38,27.615,81.65,5.673972602739726,1.231220781803131
2018-03-09,20.33203125,23.99776391202896,6.818181818181817,105.8,19.60792129,96.22999999999999,12.79,27.83,81.65,5.671232876712329,1.217466533184052
2018-03-12,19.94921875,23.86929670417341,4.444444444444446,106.685,25.32131549,96.84,11.455,28.605,81.65,5.663013698630138,0.7870837152004242
2018-03-13,19.96014450103125,23.78033797920778,6.521739130434782,106.967,19.7355414,96.19,11.975,28.57,81.65,5.66027397260274,0.6368080079555511
2018-03-14,21.09765625,23.69101506254112,17.02127659574468,106.3,26.86543006,94.58,12.38,27.98,81.6,5.66027397260274,0.7804871201515198
2018-03-15,21.04201868547416,23.58707714372359,16.66666666666667,106.69,15.89161702,95.4,12.04,27.52,81.6,5.657534246575342,0.9955673217773438
2018-03-16,21.44598422306989,23.49926398531763,20.40816326530612,105.69,17.2482601,94.73,13.84,27.52,81.6,5.654794520547945,0.9758211970329285
2018-03-19,20.71484375,23.40395649687463,14.0,106.579,18.54138004,95.33500000000001,12.855,28.025,81.7,5.656164383561645,1.020858585834503
2018-03-20,20.89402460440727,23.33336669202154,17.64705882352941,105.045,13.97223181,95.46000000000001,13.095,26.995,81.7,5.653424657534247,1.015911936759949
2018-03-21,21.09765625,23.20871282592088,23.07692307692308,105.41,18.08381729,95.07,12.62,27.12,81.85,5.650684931506849,1.079813033342362
2018-03-22,21.24381948504155,23.01610197520102,24.52830188679245,105.508,29.69834226,95.14,12.49,26.88,81.9,5.638356164383562,0.983680009841919
2018-03-23,22.62890625,22.88849780853435,46.2962962962963,104.37,35.62762773,90.20500000000001,16.575,25.925,81.9,5.645205479452055,1.215676248073577
2018-03-26,21.48046875,22.68952215196248,29.09090909090909,104.43,20.54988881,90.83500000000001,14.77,25.455,82.0,5.636986301369863,1.15974223613739
2018-03-27,21.09765625,22.48332607959521,23.21428571428572,105.0,27.21399506,93.25,12.96,26.33,82.0,5.643835616438357,1.153033256530762
2018-03-28,21.1155099326035,22.30030970725779,24.56140350877193,104.27,16.96463966,93.62,13.93,25.79,82.2,5.641095890410959,1.176101565361023
2018-03-29,20.80998888022398,22.12233790007367,13.79310344827586,104.5,17.97084781,93.62,11.98,25.99,82.1,5.638356164383562,1.098316192626953
2018-03-30,20.13248745021666,21.90378093378906,6.779661016949152,105.52,19.17673473,93.96,11.47,26.39,82.3,5.635616438356164,0.7921064496040344
2018-04-02,20.71484375,21.74702999170704,15.0,105.385,22.77198658,95.25,11.95,26.745,82.30000000000001,5.627397260273972,0.8797962665557861
